scenario,hour,metric_a,metric_b,top_k,top_k_cells_metric_a,top_k_cells_metric_b,overlap_count,jaccard_overlap,n_cells,caveat
overhead_as_canopy,13,tmrt_p75_c,delta_tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p75_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p90_c,tmrt_p95_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p90_c,tmrt_max_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p90_c,delta_tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p90_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p95_c,tmrt_max_c,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p95_c,delta_tmrt_p90_c,3,TP_0326|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_p95_c,m_rad_pct,3,TP_0326|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_max_c,delta_tmrt_p90_c,3,TP_0326|TP_0542|TP_0986,TP_0059|TP_0565|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,tmrt_max_c,m_rad_pct,3,TP_0326|TP_0542|TP_0986,TP_0059|TP_0565|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,13,delta_tmrt_p90_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_mean_c,tmrt_p75_c,3,TP_0366|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_mean_c,tmrt_p90_c,3,TP_0366|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_mean_c,tmrt_p95_c,3,TP_0366|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_mean_c,tmrt_max_c,3,TP_0366|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_mean_c,delta_tmrt_p90_c,3,TP_0366|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_mean_c,m_rad_pct,3,TP_0366|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p75_c,tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p75_c,tmrt_p95_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p75_c,tmrt_max_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p75_c,delta_tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p75_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p90_c,tmrt_p95_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p90_c,tmrt_max_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p90_c,delta_tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p90_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p95_c,tmrt_max_c,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p95_c,delta_tmrt_p90_c,3,TP_0326|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_p95_c,m_rad_pct,3,TP_0326|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_max_c,delta_tmrt_p90_c,3,TP_0326|TP_0542|TP_0986,TP_0059|TP_0565|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,tmrt_max_c,m_rad_pct,3,TP_0326|TP_0542|TP_0986,TP_0059|TP_0565|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,15,delta_tmrt_p90_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_mean_c,tmrt_p75_c,3,TP_0059|TP_0366|TP_0565,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_mean_c,tmrt_p90_c,3,TP_0059|TP_0366|TP_0565,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_mean_c,tmrt_p95_c,3,TP_0059|TP_0366|TP_0565,TP_0326|TP_0565|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_mean_c,tmrt_max_c,3,TP_0059|TP_0366|TP_0565,TP_0326|TP_0542|TP_0986,0,0.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_mean_c,delta_tmrt_p90_c,3,TP_0059|TP_0366|TP_0565,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_mean_c,m_rad_pct,3,TP_0059|TP_0366|TP_0565,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p75_c,tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p75_c,tmrt_p95_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p75_c,tmrt_max_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p75_c,delta_tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p75_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p90_c,tmrt_p95_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p90_c,tmrt_max_c,3,TP_0059|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p90_c,delta_tmrt_p90_c,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p90_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p95_c,tmrt_max_c,3,TP_0326|TP_0565|TP_0986,TP_0326|TP_0542|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p95_c,delta_tmrt_p90_c,3,TP_0326|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_p95_c,m_rad_pct,3,TP_0326|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,2,0.5,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_max_c,delta_tmrt_p90_c,3,TP_0326|TP_0542|TP_0986,TP_0059|TP_0565|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,tmrt_max_c,m_rad_pct,3,TP_0326|TP_0542|TP_0986,TP_0059|TP_0565|TP_0986,1,0.2,8,Core 8 small-sample diagnostic only
overhead_as_canopy,16,delta_tmrt_p90_c,m_rad_pct,3,TP_0059|TP_0565|TP_0986,TP_0059|TP_0565|TP_0986,3,1.0,8,Core 8 small-sample diagnostic only
