scenario,metric,hour_a,hour_b,top_k,top_cells_hour_a,top_cells_hour_b,overlap_count,jaccard_overlap
overhead_as_canopy,tmrt_p75_c,12,13,6,TP_0565;TP_0986;TP_0059;TP_0627;TP_0960;TP_0366,TP_0565;TP_0986;TP_0059;TP_0960;TP_0627;TP_0366,6,1.0
overhead_as_canopy,tmrt_p75_c,12,13,3,TP_0565;TP_0986;TP_0059,TP_0565;TP_0986;TP_0059,3,1.0
overhead_as_canopy,tmrt_p75_c,12,15,6,TP_0565;TP_0986;TP_0059;TP_0627;TP_0960;TP_0366,TP_0986;TP_0565;TP_0059;TP_0960;TP_0627;TP_0366,6,1.0
overhead_as_canopy,tmrt_p75_c,12,15,3,TP_0565;TP_0986;TP_0059,TP_0986;TP_0565;TP_0059,3,1.0
overhead_as_canopy,tmrt_p75_c,12,16,6,TP_0565;TP_0986;TP_0059;TP_0627;TP_0960;TP_0366,TP_0986;TP_0565;TP_0059;TP_0960;TP_0627;TP_0366,6,1.0
overhead_as_canopy,tmrt_p75_c,12,16,3,TP_0565;TP_0986;TP_0059,TP_0986;TP_0565;TP_0059,3,1.0
overhead_as_canopy,tmrt_p75_c,13,15,6,TP_0565;TP_0986;TP_0059;TP_0960;TP_0627;TP_0366,TP_0986;TP_0565;TP_0059;TP_0960;TP_0627;TP_0366,6,1.0
overhead_as_canopy,tmrt_p75_c,13,15,3,TP_0565;TP_0986;TP_0059,TP_0986;TP_0565;TP_0059,3,1.0
overhead_as_canopy,tmrt_p75_c,13,16,6,TP_0565;TP_0986;TP_0059;TP_0960;TP_0627;TP_0366,TP_0986;TP_0565;TP_0059;TP_0960;TP_0627;TP_0366,6,1.0
overhead_as_canopy,tmrt_p75_c,13,16,3,TP_0565;TP_0986;TP_0059,TP_0986;TP_0565;TP_0059,3,1.0
overhead_as_canopy,tmrt_p75_c,15,16,6,TP_0986;TP_0565;TP_0059;TP_0960;TP_0627;TP_0366,TP_0986;TP_0565;TP_0059;TP_0960;TP_0627;TP_0366,6,1.0
overhead_as_canopy,tmrt_p75_c,15,16,3,TP_0986;TP_0565;TP_0059,TP_0986;TP_0565;TP_0059,3,1.0
overhead_as_canopy,tmrt_p90_c,10,12,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0115,5,0.7142857142857143
overhead_as_canopy,tmrt_p90_c,10,12,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,10,13,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,6,1.0
overhead_as_canopy,tmrt_p90_c,10,13,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,10,15,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,6,1.0
overhead_as_canopy,tmrt_p90_c,10,15,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,10,16,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,6,1.0
overhead_as_canopy,tmrt_p90_c,10,16,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,12,13,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0115,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,5,0.7142857142857143
overhead_as_canopy,tmrt_p90_c,12,13,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,12,15,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0115,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,5,0.7142857142857143
overhead_as_canopy,tmrt_p90_c,12,15,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,12,16,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0115,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,5,0.7142857142857143
overhead_as_canopy,tmrt_p90_c,12,16,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,13,15,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,6,1.0
overhead_as_canopy,tmrt_p90_c,13,15,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,13,16,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,6,1.0
overhead_as_canopy,tmrt_p90_c,13,16,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p90_c,15,16,6,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,TP_0301;TP_0986;TP_0565;TP_0059;TP_0627;TP_0960,6,1.0
overhead_as_canopy,tmrt_p90_c,15,16,3,TP_0301;TP_0986;TP_0565,TP_0301;TP_0986;TP_0565,3,1.0
overhead_as_canopy,tmrt_p95_c,10,12,6,TP_0301;TP_0773;TP_0986;TP_0326;TP_0565;TP_0059,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,6,1.0
overhead_as_canopy,tmrt_p95_c,10,12,3,TP_0301;TP_0773;TP_0986,TP_0301;TP_0773;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,10,13,6,TP_0301;TP_0773;TP_0986;TP_0326;TP_0565;TP_0059,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,6,1.0
overhead_as_canopy,tmrt_p95_c,10,13,3,TP_0301;TP_0773;TP_0986,TP_0301;TP_0773;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,10,15,6,TP_0301;TP_0773;TP_0986;TP_0326;TP_0565;TP_0059,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,5,0.7142857142857143
overhead_as_canopy,tmrt_p95_c,10,15,3,TP_0301;TP_0773;TP_0986,TP_0773;TP_0301;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,10,16,6,TP_0301;TP_0773;TP_0986;TP_0326;TP_0565;TP_0059,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,5,0.7142857142857143
overhead_as_canopy,tmrt_p95_c,10,16,3,TP_0301;TP_0773;TP_0986,TP_0773;TP_0301;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,12,13,6,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,6,1.0
overhead_as_canopy,tmrt_p95_c,12,13,3,TP_0301;TP_0773;TP_0986,TP_0301;TP_0773;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,12,15,6,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,5,0.7142857142857143
overhead_as_canopy,tmrt_p95_c,12,15,3,TP_0301;TP_0773;TP_0986,TP_0773;TP_0301;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,12,16,6,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,5,0.7142857142857143
overhead_as_canopy,tmrt_p95_c,12,16,3,TP_0301;TP_0773;TP_0986,TP_0773;TP_0301;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,13,15,6,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,5,0.7142857142857143
overhead_as_canopy,tmrt_p95_c,13,15,3,TP_0301;TP_0773;TP_0986,TP_0773;TP_0301;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,13,16,6,TP_0301;TP_0773;TP_0986;TP_0565;TP_0326;TP_0059,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,5,0.7142857142857143
overhead_as_canopy,tmrt_p95_c,13,16,3,TP_0301;TP_0773;TP_0986,TP_0773;TP_0301;TP_0986,3,1.0
overhead_as_canopy,tmrt_p95_c,15,16,6,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,TP_0773;TP_0301;TP_0986;TP_0326;TP_0565;TP_0676,6,1.0
overhead_as_canopy,tmrt_p95_c,15,16,3,TP_0773;TP_0301;TP_0986,TP_0773;TP_0301;TP_0986,3,1.0
overhead_as_canopy,tmrt_max_c,10,12,6,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,TP_0986;TP_0542;TP_0326;TP_0301;TP_0773;TP_0676,6,1.0
overhead_as_canopy,tmrt_max_c,10,12,3,TP_0326;TP_0301;TP_0773,TP_0986;TP_0542;TP_0326,1,0.2
overhead_as_canopy,tmrt_max_c,10,13,6,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,TP_0301;TP_0326;TP_0773;TP_0542;TP_0986;TP_0676,6,1.0
overhead_as_canopy,tmrt_max_c,10,13,3,TP_0326;TP_0301;TP_0773,TP_0301;TP_0326;TP_0773,3,1.0
overhead_as_canopy,tmrt_max_c,10,15,6,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,6,1.0
overhead_as_canopy,tmrt_max_c,10,15,3,TP_0326;TP_0301;TP_0773,TP_0773;TP_0301;TP_0326,3,1.0
overhead_as_canopy,tmrt_max_c,10,16,6,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,6,1.0
overhead_as_canopy,tmrt_max_c,10,16,3,TP_0326;TP_0301;TP_0773,TP_0773;TP_0301;TP_0326,3,1.0
overhead_as_canopy,tmrt_max_c,12,13,6,TP_0986;TP_0542;TP_0326;TP_0301;TP_0773;TP_0676,TP_0301;TP_0326;TP_0773;TP_0542;TP_0986;TP_0676,6,1.0
overhead_as_canopy,tmrt_max_c,12,13,3,TP_0986;TP_0542;TP_0326,TP_0301;TP_0326;TP_0773,1,0.2
overhead_as_canopy,tmrt_max_c,12,15,6,TP_0986;TP_0542;TP_0326;TP_0301;TP_0773;TP_0676,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,6,1.0
overhead_as_canopy,tmrt_max_c,12,15,3,TP_0986;TP_0542;TP_0326,TP_0773;TP_0301;TP_0326,1,0.2
overhead_as_canopy,tmrt_max_c,12,16,6,TP_0986;TP_0542;TP_0326;TP_0301;TP_0773;TP_0676,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,6,1.0
overhead_as_canopy,tmrt_max_c,12,16,3,TP_0986;TP_0542;TP_0326,TP_0773;TP_0301;TP_0326,1,0.2
overhead_as_canopy,tmrt_max_c,13,15,6,TP_0301;TP_0326;TP_0773;TP_0542;TP_0986;TP_0676,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,6,1.0
overhead_as_canopy,tmrt_max_c,13,15,3,TP_0301;TP_0326;TP_0773,TP_0773;TP_0301;TP_0326,3,1.0
overhead_as_canopy,tmrt_max_c,13,16,6,TP_0301;TP_0326;TP_0773;TP_0542;TP_0986;TP_0676,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,6,1.0
overhead_as_canopy,tmrt_max_c,13,16,3,TP_0301;TP_0326;TP_0773,TP_0773;TP_0301;TP_0326,3,1.0
overhead_as_canopy,tmrt_max_c,15,16,6,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,TP_0773;TP_0301;TP_0326;TP_0542;TP_0676;TP_0986,6,1.0
overhead_as_canopy,tmrt_max_c,15,16,3,TP_0773;TP_0301;TP_0326,TP_0773;TP_0301;TP_0326,3,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,12,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,12,3,TP_0037;TP_0059;TP_0088,TP_0986;TP_0366;TP_0565,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,13,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,13,3,TP_0037;TP_0059;TP_0088,TP_0986;TP_0366;TP_0565,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,15,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0366;TP_0565;TP_0986;TP_0960;TP_0059;TP_0627,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,15,3,TP_0037;TP_0059;TP_0088,TP_0366;TP_0565;TP_0986,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,16,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0059;TP_0960;TP_0627;TP_0986;TP_0366;TP_0565,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_50,10,16,3,TP_0037;TP_0059;TP_0088,TP_0059;TP_0960;TP_0627,1,0.2
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,13,6,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,13,3,TP_0986;TP_0366;TP_0565,TP_0986;TP_0366;TP_0565,3,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,15,6,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,TP_0366;TP_0565;TP_0986;TP_0960;TP_0059;TP_0627,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,15,3,TP_0986;TP_0366;TP_0565,TP_0366;TP_0565;TP_0986,3,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,16,6,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,TP_0059;TP_0960;TP_0627;TP_0986;TP_0366;TP_0565,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,12,16,3,TP_0986;TP_0366;TP_0565,TP_0059;TP_0960;TP_0627,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,13,15,6,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,TP_0366;TP_0565;TP_0986;TP_0960;TP_0059;TP_0627,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,13,15,3,TP_0986;TP_0366;TP_0565,TP_0366;TP_0565;TP_0986,3,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,13,16,6,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,TP_0059;TP_0960;TP_0627;TP_0986;TP_0366;TP_0565,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,13,16,3,TP_0986;TP_0366;TP_0565,TP_0059;TP_0960;TP_0627,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,15,16,6,TP_0366;TP_0565;TP_0986;TP_0960;TP_0059;TP_0627,TP_0059;TP_0960;TP_0627;TP_0986;TP_0366;TP_0565,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_50,15,16,3,TP_0366;TP_0565;TP_0986,TP_0059;TP_0960;TP_0627,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,12,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,12,3,TP_0037;TP_0059;TP_0088,TP_0986;TP_0366;TP_0565,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,13,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,13,3,TP_0037;TP_0059;TP_0088,TP_0986;TP_0366;TP_0565,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,15,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0366;TP_0960;TP_0565;TP_0059;TP_0986;TP_0627,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,15,3,TP_0037;TP_0059;TP_0088,TP_0366;TP_0960;TP_0565,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,16,6,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,10,16,3,TP_0037;TP_0059;TP_0088,TP_0037;TP_0059;TP_0088,3,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,13,6,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,13,3,TP_0986;TP_0366;TP_0565,TP_0986;TP_0366;TP_0565,3,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,15,6,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,TP_0366;TP_0960;TP_0565;TP_0059;TP_0986;TP_0627,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,15,3,TP_0986;TP_0366;TP_0565,TP_0366;TP_0960;TP_0565,2,0.5
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,16,6,TP_0986;TP_0366;TP_0565;TP_0960;TP_0059;TP_0627,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_55,12,16,3,TP_0986;TP_0366;TP_0565,TP_0037;TP_0059;TP_0088,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,13,15,6,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,TP_0366;TP_0960;TP_0565;TP_0059;TP_0986;TP_0627,6,1.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,13,15,3,TP_0986;TP_0366;TP_0565,TP_0366;TP_0960;TP_0565,2,0.5
overhead_as_canopy,pct_pixels_tmrt_ge_55,13,16,6,TP_0986;TP_0366;TP_0565;TP_0627;TP_0960;TP_0059,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_55,13,16,3,TP_0986;TP_0366;TP_0565,TP_0037;TP_0059;TP_0088,0,0.0
overhead_as_canopy,pct_pixels_tmrt_ge_55,15,16,6,TP_0366;TP_0960;TP_0565;TP_0059;TP_0986;TP_0627,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,1,0.09090909090909091
overhead_as_canopy,pct_pixels_tmrt_ge_55,15,16,3,TP_0366;TP_0960;TP_0565,TP_0037;TP_0059;TP_0088,0,0.0
